t,T
114.75,779.38
114.875,778.443
115,777.51
115.125,776.584
115.25,775.663
115.375,774.748
115.5,773.838
115.625,772.933
115.75,772.034
115.875,771.14
116,770.25
116.125,769.366
116.25,768.487
116.375,767.613
116.5,766.744
116.625,765.879
116.75,765.02
116.875,764.165
117,763.315
117.125,762.469
117.25,761.628
117.375,760.792
117.5,759.96
117.625,759.132
117.75,758.309
117.875,757.49
118,756.676
118.125,755.865
118.25,755.059
118.375,754.257
118.5,753.459
118.625,752.665
118.75,751.875
118.875,751.089
119,750.307
119.125,749.528
119.25,748.754
119.375,747.983
119.5,747.217
119.625,746.455
119.75,745.697
119.875,744.942
120,744.192
