t (s),q_cond (W/cm2),q_inc (W/cm2),T_s (K)
72,9.85727750016051,37.9211400728493,1532.77927423372
72.25,9.75198823889494,37.7447887296947,1531.80299717828
72.5,9.65538850049179,37.5732734201808,1530.77232520255
72.75,9.58793567986534,37.4462021762806,1529.9495419515
73,9.51278612478327,37.3079595725542,1529.0779191384
73.25,9.4124612027531,37.1242490010466,1527.92577647317
73.5,9.33285329861077,36.9673213554673,1526.85489317113
73.75,9.24298976741534,36.7906493584974,1525.65078519349
74,9.14550798206023,36.5955809459302,1524.29463693231
74.25,9.06474211340988,36.4223177887343,1523.00578870159
74.5,8.97340448183972,36.2289601338897,1521.58116846821
74.75,8.8501711508773,35.9752677351535,1519.7551495057
75,8.76711276504742,35.7774028393471,1518.14238287505
75.25,8.69292468030244,35.594823061498,1516.61493510231
75.5,8.58274658715439,35.3514735999307,1514.73316264434
75.75,8.46545531854698,35.0859365659606,1512.63074861588
76,8.39658297553886,34.8933179046696,1510.86850420152
76.25,8.28380564895864,34.6299187312062,1508.71620053636
76.5,8.18951499091873,34.3890013714438,1506.61213847253
76.75,8.0960345432479,34.147219679626,1504.47522587369
77,7.98349744997961,33.8708278885144,1502.10409417811
77.25,7.88459841336979,33.6103257142763,1499.75458223458
77.5,7.79333355348593,33.3600455049889,1497.43194209636
77.75,7.67830962643691,33.0694133742966,1494.85481087514
78,7.54742762201847,32.7450047272649,1491.99966893614
78.25,7.46044990262015,32.484709217926,1489.42847415579
78.5,7.35910626449991,32.2029179392144,1486.73753870205
78.75,7.24095539464253,31.8902005605954,1483.81995712075
79,7.11882924423298,31.5637121329255,1480.73711722066
79.25,7.02578607561438,31.2791994318208,1477.83113011768
79.5,6.9149283986522,30.9665428760563,1474.74997612162
79.75,6.77441434933721,30.6005400195915,1471.28455745774
80,6.65969442694366,30.2673994925817,1467.90429427298
80.25,6.54658917025384,29.9354926866887,1464.49468259071
80.5,6.42499066680146,29.5878537344792,1460.94727690473
80.75,6.29140485605216,29.2162451705504,1457.18392584255
81,6.17162513020356,28.8606166550756,1453.42605787083
81.25,6.0405644388802,28.4843544375368,1449.48821985696
81.5,5.91804717075416,28.1169759642674,1445.52366593986
81.75,5.78674196468586,27.732728963751,1441.39391626066
82,5.66231069231865,27.3555907904272,1437.23235377958
82.25,5.52940919277736,26.9622689402244,1432.90577371183
82.5,5.40377269419508,26.5763908328031,1428.5427575966
82.75,5.26984196216296,26.1750956498312,1424.01845421613
83,5.13196026275865,25.7633175839436,1419.33861016787
83.25,5.00430402498057,25.363228875914,1414.6374910258
83.5,4.88560388310189,24.9755545859266,1409.94968620492
83.75,4.7366832305653,24.5390565769405,1404.8855957564
84,4.61471557142481,24.138465252752,1399.92643137452
84.25,4.47432302889863,23.7083423501312,1394.71321944913
84.5,4.34924422802819,23.2979690370003,1389.52212808674
84.75,4.20951225123882,22.8635094650534,1384.09772434876
85,4.08601013340659,22.4504408432349,1378.70553239491
85.25,3.94700204955772,22.0125960644877,1373.07369588661
85.5,3.80999452072875,21.5741142351657,1367.32114538338
85.75,3.67378857260434,21.1341468628581,1361.45066506039
86,3.5449581730186,20.7033304174423,1355.53831063763
86.25,3.42305567474054,20.2826584919062,1349.61186439862
86.5,3.29132443613533,19.8471678162362,1343.50540501671
86.75,3.14740477176189,19.3910397247236,1337.1412005225
87,3.02194489370368,18.959592966681,1330.81443800995
87.25,2.90027946658733,18.5346638123164,1324.4537286613
87.5,2.75631165441285,18.0765648196978,1317.76710194375
87.75,2.62975093493912,17.6414722534133,1311.09911769519
88,2.49214540332182,17.1903254342888,1304.21708078111
88.25,2.36476253630927,16.7531568195506,1297.30882498258
88.5,2.24359070396854,16.3262837394067,1290.38177452575
88.75,2.10002956883645,15.8677878174047,1283.12695445059
89,1.97614720462676,15.4363358283753,1275.92104896158
89.25,1.85674007077663,15.013631483596,1268.69368654568
89.5,1.72847710610947,14.5804904837942,1261.30204847471
89.75,1.58831156115329,14.1307291895142,1253.66069333627
90,1.4661470103526,13.7064808579777,1246.06763265087
90.25,1.3590494294125,13.3070919570597,1238.58620708628
90.5,1.21319596591667,12.8566422245339,1230.6428848187
90.75,1.08332727147311,12.4274752725405,1222.68501206769
91,0.973970536653158,12.0297209842659,1214.86715070588
91.25,0.828336124949359,11.5855045833588,1206.61102256522
91.5,0.715208253905271,11.1866124695812,1198.54739994479
91.75,0.609676441567845,10.8035087268596,1190.5560055853
92,0.469664406371225,10.3775840998589,1182.15272735519
92.25,0.336094668631091,9.96084361226225,1173.64960005933
92.5,0.227872553183996,9.58136698305165,1165.32726741489
92.75,0.129607849974946,9.22150413206773,1157.12871870992
93,-0.00684729379204819,8.81571765203227,1148.50171629742
93.25,-0.133656779657585,8.4239794342177,1139.82176136887
93.5,-0.249500858203991,8.05014621574626,1131.17423657946
93.75,-0.359673713346405,7.68856863342386,1122.55223301772
94,-0.479235009028554,7.31940965539783,1113.7910650494
94.25,-0.584630967847912,6.97278644651217,1105.1226203962
94.5,-0.682394300458544,6.64167590904749,1096.53868766193
94.75,-0.790236155714587,6.30302794845491,1087.8451929217
95,-0.910111359263938,5.95272832262614,1078.95306572577
95.25,-0.994635972287738,5.65148577911447,1070.38439354217
95.5,-1.10071084806078,5.3289136758196,1061.61392133137
95.75,-1.18966451168942,5.03212856193232,1052.98496963793
96,-1.27595281209194,4.74411398124689,1044.40161265464
96.25,-1.34347086379141,4.48508016445213,1036.05211445295
96.5,-1.44120289118908,4.19375669938543,1027.40182730172
96.75,-1.50444713643638,3.94891140105534,1019.08378452395
97,-1.56175671366368,3.71781053474823,1010.92809027309
97.25,-1.65576447601692,3.44641353394563,1002.39484517211
97.5,-1.69529054593511,3.24533353708942,994.429103776622
97.75,-1.73001057021693,3.05761093114754,986.704332655347
98,-1.79850720797849,2.83450050104897,978.709428846331
98.25,-1.85133012356342,2.63368723096531,970.869030424067
98.5,-1.8881955189484,2.45695515593681,963.280262405392
98.75,-1.92429667384816,2.28653202141139,955.81953331803
